,Pearson Correlation
ERA,-0.34540179580772085
WHIP,-0.3864201487604035
SO9,0.5982552955343712
RV,-0.381208005565712
BAbip,-0.16836925879627396
K%,0.6255382205476676
o-wOBA,-0.400667209093623
