,Spearman Rank Correlation
ERA,-0.058753781675162736
WHIP,-0.3133813737077112
SO9,-0.09441916731686402
RV,-0.061249036019272535
BAbip,-0.022075326210046875
K%,-0.028348731494221076
o-wOBA,-0.24957844267881693
