,Spearman Rank Correlation
ERA,-0.23532584035917492
WHIP,-0.2534553844661543
SO9,0.5302387689219359
RV,-0.3851820653214381
BAbip,-0.15924746530822145
K%,0.519247239844669
o-wOBA,-0.2672746461318143
