,Spearman Rank Correlation
ERA,-0.2507801743761299
WHIP,-0.5277986778670793
SO9,0.31235237082382655
RV,-0.2777761777905777
BAbip,-0.16900801808485946
K%,0.3791410218413245
o-wOBA,-0.5097751217990256
