iter	Passed	Remaining
402	12284	19600
403	12317	19573
404	12348	19543
405	12376	19510
406	12406	19478
407	12436	19447
408	12464	19412
409	12497	19386
410	12531	19361
411	12564	19334
412	12594	19303
413	12623	19269
414	12652	19238
415	12681	19204
416	12710	19172
417	12740	19141
418	12773	19115
419	12804	19084
420	12835	19055
421	12866	19025
422	12879	18969
423	12909	18937
424	12938	18904
425	12968	18874
426	12997	18841
427	13025	18807
428	13062	18787
429	13094	18758
430	13128	18733
431	13158	18702
432	13192	18676
433	13222	18645
434	13252	18615
435	13282	18583
436	13314	18554
437	13351	18533
438	13381	18502
439	13414	18475
440	13442	18441
441	13470	18408
442	13500	18376
443	13530	18345
444	13559	18312
445	13588	18280
446	13624	18257
447	13655	18227
448	13686	18198
449	13716	18166
450	13745	18133
451	13774	18101
452	13804	18071
453	13833	18038
454	13862	18005
455	13897	17981
456	13926	17949
457	13960	17922
458	13990	17891
459	14018	17858
460	14051	17831
461	14082	17801
462	14111	17768
463	14139	17735
464	14175	17712
465	14203	17678
466	14235	17649
467	14264	17616
468	14292	17584
469	14322	17552
470	14349	17517
471	14378	17485
472	14409	17456
473	14446	17432
474	14476	17402
475	14509	17374
476	14537	17341
477	14565	17307
478	14594	17275
479	14622	17242
480	14651	17210
481	14681	17179
482	14716	17153
483	14747	17124
484	14777	17092
485	14804	17059
486	14835	17029
487	14865	16997
488	14893	16964
489	14921	16930
490	14952	16901
491	14982	16871
492	15014	16841
493	15044	16810
494	15075	16780
495	15105	16750
496	15135	16718
497	15164	16686
498	15192	16653
499	15224	16625
500	15256	16596
501	15287	16566
502	15314	16532
503	15335	16491
504	15363	16458
505	15393	16427
506	15421	16394
507	15448	16361
508	15481	16333
509	15514	16305
510	15544	16274
511	15573	16242
512	15601	16209
513	15630	16178
514	15659	16145
515	15686	16112
516	15716	16081
517	15751	16055
518	15780	16024
519	15810	15993
520	15838	15960
521	15866	15927
522	15894	15894
523	15923	15862
524	15951	15829
525	15982	15800
526	16015	15772
527	16047	15743
528	16079	15714
529	16107	15682
530	16136	15650
531	16165	15618
532	16193	15586
533	16221	15553
534	16252	15522
535	16286	15496
536	16317	15466
537	16344	15433
538	16373	15401
539	16401	15368
540	16431	15338
541	16459	15305
542	16488	15274
543	16522	15247
544	16552	15216
545	16583	15186
546	16610	15152
547	16637	15119
548	16666	15088
549	16694	15055
550	16722	15022
551	16751	14991
552	16784	14963
553	16814	14932
554	16845	14902
555	16872	14869
556	16901	14837
557	16929	14805
558	16959	14775
559	16987	14742
560	17017	14712
561	17051	14685
562	17085	14657
563	17120	14630
564	17149	14600
565	17179	14568
566	17211	14539
567	17240	14508
568	17270	14478
569	17302	14448
570	17337	14422
571	17369	14393
572	17402	14365
573	17435	14336
574	17465	14306
575	17498	14277
576	17530	14248
577	17560	14218
578	17590	14188
579	17626	14161
580	17658	14132
581	17691	14104
582	17723	14075
583	17754	14045
584	17786	14016
585	17817	13986
586	17848	13956
587	17879	13926
588	17916	13901
589	17946	13870
590	17979	13842
591	18012	13813
592	18047	13786
593	18077	13756
594	18108	13725
595	18137	13694
596	18167	13663
597	18202	13636
598	18234	13607
599	18265	13577
600	18297	13547
601	18329	13518
602	18361	13489
603	18391	13459
604	18422	13428
605	18453	13398
606	18491	13373
607	18522	13343
608	18557	13316
609	18585	13284
610	18616	13253
611	18648	13224
612	18675	13191
613	18705	13161
614	18736	13130
615	18772	13104
616	18802	13073
617	18835	13044
618	18868	13016
619	18887	12977
620	18919	12948
621	18950	12917
622	18979	12886
623	19011	12857
624	19045	12828
625	19083	12803
626	19116	12774
627	19149	12746
628	19181	12716
629	19211	12685
630	19243	12656
631	19275	12626
632	19305	12596
633	19337	12566
634	19373	12539
635	19406	12510
636	19438	12480
637	19468	12449
638	19496	12417
639	19527	12387
640	19558	12357
641	19587	12325
642	19620	12296
643	19656	12269
644	19688	12240
645	19721	12211
646	19752	12181
647	19782	12150
648	19815	12121
649	19846	12090
650	19875	12059
651	19911	12032
652	19946	12004
653	19971	11970
654	20006	11942
655	20042	11915
656	20074	11885
657	20108	11857
658	20141	11828
659	20175	11799
660	20206	11769
